               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.3613,              7.2703,              5.3968,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0928,              0.0008,              0.0008
                   1,              4.2974,              7.2819,              5.4095,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.084697,           0.0016969,           0.0016969
                   2,              4.3359,               7.282,              5.3955,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.076591,           0.0025906,           0.0025906
                   3,              4.3037,              7.2571,              5.4313,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.068481,           0.0034811,           0.0034811
                   4,              4.3077,              7.2328,              5.3892,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.060368,           0.0043683,           0.0043683
                   5,              4.3386,              7.2476,              5.3701,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.052252,           0.0052523,           0.0052523
                   6,              4.3736,              7.2223,              5.4102,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.044133,            0.006133,            0.006133
                   7,               4.342,              7.1591,              5.3857,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.036011,           0.0070105,           0.0070105
                   8,              4.3111,              7.1317,              5.3482,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.027885,           0.0078848,           0.0078848
                   9,              4.4159,               7.182,              5.3256,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.019756,           0.0087558,           0.0087558
                  10,              4.3302,              7.0934,              5.3357,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.011624,           0.0096236,           0.0096236
                  11,              4.3865,              7.1889,              5.3048,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  12,              4.3336,               7.014,               5.293,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  13,              4.3037,              6.9727,              5.2739,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009784,            0.009784,            0.009784
                  14,              4.3079,              6.8609,              5.2609,          9.9118e-05,          0.00030266,          5.0612e-05,          1.0065e-05,                   0,                   0,                   0,            0.009766,            0.009766,            0.009766
                  15,              4.3294,              7.0758,              5.2374,             0.37368,           0.0028249,          0.00019354,          1.9354e-05,                   0,                   0,                   0,            0.009748,            0.009748,            0.009748
                  16,              4.3227,              6.8628,              5.2001,             0.25426,          0.00090799,          8.2982e-06,          2.0554e-06,                   0,                   0,                   0,             0.00973,             0.00973,             0.00973
                  17,              4.2899,              6.6206,              5.1988,            0.000145,           0.0071471,          8.4782e-05,           3.299e-05,                   0,                   0,                   0,            0.009712,            0.009712,            0.009712
                  18,              4.2581,              6.6462,              5.1839,              0.3056,            0.012999,          0.00032886,          0.00023224,                   0,                   0,                   0,            0.009694,            0.009694,            0.009694
                  19,              4.2434,              6.8305,              5.1406,             0.13561,          0.00060533,          8.9843e-06,          2.6884e-06,                   0,                   0,                   0,            0.009676,            0.009676,            0.009676
                  20,               4.226,              6.4426,              5.1059,           0.0034354,           0.0056842,           0.0018825,          0.00075325,                   0,                   0,                   0,            0.009658,            0.009658,            0.009658
                  21,              4.1652,              6.2873,              5.0799,             0.18652,           0.0035815,          4.1007e-05,          6.4077e-06,                   0,                   0,                   0,             0.00964,             0.00964,             0.00964
                  22,              4.1564,              6.3078,              5.0643,           0.0042748,           0.0019514,           0.0029554,          0.00088852,                   0,                   0,                   0,            0.009622,            0.009622,            0.009622
                  23,              4.1976,               6.314,              5.0256,             0.13571,           0.0038842,          0.00010003,          1.3491e-05,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  24,              4.1278,               6.138,              4.9839,             0.18648,          0.00090799,          1.7275e-05,          4.8095e-06,                   0,                   0,                   0,            0.009586,            0.009586,            0.009586
                  25,              4.0366,              6.1453,              4.9335,             0.32223,          0.00030266,           4.613e-05,          1.3539e-05,                   0,                   0,                   0,            0.009568,            0.009568,            0.009568
                  26,              4.0357,              6.1077,              4.9159,             0.22228,            0.001816,          0.00045585,          0.00012818,                   0,                   0,                   0,             0.00955,             0.00955,             0.00955
                  27,              3.9733,              5.9016,              4.8714,             0.20353,           0.0030266,          4.3753e-05,          1.4529e-05,                   0,                   0,                   0,            0.009532,            0.009532,            0.009532
                  28,               3.986,              5.8573,              4.8113,          0.00021921,            0.016495,          0.00067362,          9.4134e-05,                   0,                   0,                   0,            0.009514,            0.009514,            0.009514
                  29,              3.9168,              5.7908,              4.7912,             0.20591,            0.011703,           0.0013373,          0.00032949,                   0,                   0,                   0,            0.009496,            0.009496,            0.009496
                  30,              3.8769,              5.8894,              4.7426,              0.1571,            0.012712,           0.0035705,          0.00096395,                   0,                   0,                   0,            0.009478,            0.009478,            0.009478
                  31,              3.8367,              5.7584,              4.6811,             0.12323,            0.012959,            0.001634,          0.00049295,                   0,                   0,                   0,             0.00946,             0.00946,             0.00946
                  32,              3.7933,              5.6639,              4.6239,          0.00062369,            0.020783,           0.0017776,          0.00059456,                   0,                   0,                   0,            0.009442,            0.009442,            0.009442
                  33,              3.7576,              5.6529,              4.5922,          0.00049028,           0.0069453,          0.00030059,          7.1273e-05,                   0,                   0,                   0,            0.009424,            0.009424,            0.009424
                  34,              3.7048,              5.6353,              4.5661,             0.25868,           0.0028753,           0.0015082,          0.00079741,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  35,              3.6435,              5.6891,              4.5464,             0.35439,           0.0024213,           0.0030483,           0.0021246,                   0,                   0,                   0,            0.009388,            0.009388,            0.009388
                  36,              3.5565,              5.5274,              4.4746,             0.36373,           0.0049939,           0.0062053,           0.0017694,                   0,                   0,                   0,             0.00937,             0.00937,             0.00937
                  37,               3.526,              5.4097,              4.3971,             0.44721,           0.0028753,           0.0036886,          0.00089614,                   0,                   0,                   0,            0.009352,            0.009352,            0.009352
                  38,               3.545,              5.4685,              4.3793,             0.47679,           0.0028753,           0.0012472,          0.00034074,                   0,                   0,                   0,            0.009334,            0.009334,            0.009334
                  39,              3.4374,              5.3835,              4.3079,             0.23826,           0.0042214,           0.0010934,          0.00028211,                   0,                   0,                   0,            0.009316,            0.009316,            0.009316
                  40,              3.3461,              5.2879,              4.2452,          0.00081604,            0.028334,           0.0010646,          0.00023598,                   0,                   0,                   0,            0.009298,            0.009298,            0.009298
                  41,              3.3635,              5.1839,              4.2373,          0.00095987,            0.014663,          0.00077013,          0.00015135,                   0,                   0,                   0,             0.00928,             0.00928,             0.00928
                  42,              3.2611,              5.1495,              4.1783,          0.00057133,            0.019102,          0.00090995,          0.00021209,                   0,                   0,                   0,            0.009262,            0.009262,            0.009262
                  43,              3.2884,              5.1139,              4.1301,          0.00037742,            0.012091,          0.00083079,           0.0002324,                   0,                   0,                   0,            0.009244,            0.009244,            0.009244
                  44,              3.1708,              5.0057,              4.0813,          0.00079705,            0.034589,           0.0014951,          0.00034592,                   0,                   0,                   0,            0.009226,            0.009226,            0.009226
                  45,              3.1604,              5.0225,              4.0281,             0.30607,           0.0084746,           0.0012078,          0.00038732,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  46,              3.0873,              4.9289,              4.0061,            0.002679,            0.038473,           0.0046067,           0.0010864,                   0,                   0,                   0,             0.00919,             0.00919,             0.00919
                  47,              3.0743,               4.879,              3.9688,              0.1881,            0.017841,           0.0023245,          0.00061555,                   0,                   0,                   0,            0.009172,            0.009172,            0.009172
                  48,              2.9753,              4.7537,               3.877,           0.0026611,            0.036556,           0.0050602,          0.00096184,                   0,                   0,                   0,            0.009154,            0.009154,            0.009154
                  49,              2.9442,              4.6049,              3.8245,           0.0017524,            0.036001,           0.0030144,          0.00047767,                   0,                   0,                   0,            0.009136,            0.009136,            0.009136
                  50,              2.9319,              4.6727,              3.8199,             0.43051,            0.003178,           0.0031896,          0.00067289,                   0,                   0,                   0,            0.009118,            0.009118,            0.009118
                  51,              2.9618,              4.7523,              3.8157,              0.3946,           0.0054479,            0.003806,          0.00079696,                   0,                   0,                   0,              0.0091,              0.0091,              0.0091
                  52,              2.7656,              4.3356,              3.6726,             0.53287,           0.0024213,            0.005106,           0.0012992,                   0,                   0,                   0,            0.009082,            0.009082,            0.009082
                  53,              2.7077,              4.3912,              3.6209,             0.59123,           0.0024213,           0.0068982,           0.0015637,                   0,                   0,                   0,            0.009064,            0.009064,            0.009064
                  54,              2.7565,              4.3738,              3.6262,             0.42882,           0.0049939,           0.0060786,           0.0015764,                   0,                   0,                   0,            0.009046,            0.009046,            0.009046
                  55,              2.6667,              4.2988,              3.5793,           0.0014239,            0.053051,           0.0027744,          0.00057508,                   0,                   0,                   0,            0.009028,            0.009028,            0.009028
